# Constructed from biom file
#OTU ID	515rcbc12	515rcbc17	515rcbc34	515rcbc33	515rcbc21	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.13100249276e-06	2.91779974557e-05	0.0	0.0	0.0	0.0	6.13248623257e-06	0.0	0.0	9.84445757039e-05	8.87963254466e-05	0.0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__	7.14764095684e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03197044437e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52909997139e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	0.0	0.0	0.0	1.95736851377e-05	0.0	0.000878514056225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67807759431e-05	0.0	0.0	0.0010562435079	0.0	0.0	0.0	0.0	2.45299449303e-05	0.0	0.0	0.00617739712542	7.26515390018e-05	2.90883704695e-05
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.00160393063071	0.0368283896681	0.04367103377	0.0179980034841	0.01484430568	0.00785956325301	0.0213815789474	0.0260268017465	0.069515089861	0.0164272525754	0.0217362731246	0.0602662218365	0.0340614999304	0.0326972319742	0.0113207157747	0.0190232036473	0.0224862397637	0.0319166215485	0.00657432179479	0.0286002731061	0.0193803568822	0.0490304415616	0.0645168576548	0.0455120214512	0.0314351244281	0.028314603025	0.01600863387	0.00676806457964	0.00537621388613	0.00517772994357
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	2.64462715403e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.70709258257e-05	0.0	0.0	1.39026950374e-05	3.02750488185e-05	1.50581999428e-05	0.0	0.0	0.0	5.62100908355e-06	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae	7.14764095684e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54125732278e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.27600760633e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae	7.14764095684e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	1.3580517818e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	2.85905638274e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63551728413e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000361396798627	0.0	0.0	0.0	5.62100908355e-06	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles];f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99469411366e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.27036997997e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__	0.0	0.0	6.66733340001e-05	3.91473702754e-05	6.46609457125e-05	0.0	0.0	0.0	0.0	2.05726394182e-05	0.0	6.19906901254e-05	3.71040304253e-05	0.0	0.0	0.0	1.67807759431e-05	4.06063887385e-05	2.73930074783e-05	0.0	6.95134751872e-06	0.0	0.0	0.0	6.13248623257e-06	4.13472590902e-05	0.0	2.4611143926e-05	0.0	0.0
k__Bacteria;p__;c__;o__;f__	0.00030806332524	8.62267187859e-05	5.00050005001e-05	0.000234884221652	0.000184745559179	3.921937751e-05	0.0	0.000207911996522	0.000246012274018	0.000375450669382	0.000230013472218	0.000214149656797	0.000213348174946	0.000196971276953	0.000257992611092	0.000233056093689	0.000973285004699	5.41418516513e-05	2.73930074783e-05	8.7533992367e-05	0.000173783687968	0.000227062866139	0.000127994699514	0.000484265844013	0.00021463701814	0.000363855879994	0.000202356327008	9.84445757039e-05	8.07239322242e-05	2.90883704695e-05
k__Bacteria;p__AC1;c__;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52909997139e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03197044437e-05	0.0	0.0	0.0	0.00010044102742	2.91779974557e-05	6.95134751872e-06	0.0	8.28200996853e-05	0.0	0.0	8.26945181804e-06	3.37260545013e-05	0.000147666863556	4.84343593345e-05	0.0
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32979607577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83559949114e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000460126413678	0.0
k__Bacteria;p__Acidobacteria;c__;o__;f__	0.000722626500737	0.00177243810838	0.00433376671	0.00104719215487	0.00798100815652	0.000345130522088	0.0	0.00145538397566	0.00528593940119	0.00194411442502	0.00108434922617	0.0015610382877	0.00778257038171	0.00171480876406	0.000670780788838	0.00109245043917	0.0031547858773	0.0005278830536	0.000383502104696	0.000735285535883	0.00155015049667	0.00119586442833	0.00121218509539	0.00156938005004	0.00482626666503	0.00131484283907	0.00251821206943	0.000270722583186	8.07239322242e-05	0.000203618593286
k__Bacteria;p__Acidobacteria;c__AT-s54;o__;f__	4.57449021238e-05	0.000191614930635	8.33416675001e-05	2.93605277066e-05	0.00017550828122	2.3531626506e-05	0.0	0.000141758179447	6.64898037886e-06	0.000133722156218	0.000131436269839	0.000140887932103	0.000129864106489	5.79327285156e-05	6.1918226662e-05	0.000145660058555	0.000134246207545	8.1212777477e-05	0.000219144059826	0.0	8.34161702246e-05	7.56876220463e-05	0.00021834389917	0.000116582518003	1.22649724651e-05	0.000206736295451	5.0589081752e-05	2.4611143926e-05	4.03619661121e-05	8.72651114085e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	0.0112625378557	0.0034969724841	0.0047838117145	0.00529468182975	0.0106505814866	0.00731833584337	0.00493421052632	0.00449845956112	0.00690164163326	0.00801818621325	0.00487957151776	0.00531992831622	0.00746718612309	0.00377721389922	0.00606798621287	0.00533115814313	0.0121828433347	0.0108554412561	0.00977017266726	0.00745206055018	0.00718769333435	0.0106719547085	0.00509720068063	0.00842981284022	0.00381440643666	0.00939409726529	0.0106799172587	0.0056851742469	0.00778985945963	0.00162894874629
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__	8.57716914821e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.89010905929e-05	0.0	5.14315985455e-06	0.0	5.63551728413e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.96788600023e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__	7.21911736641e-05	0.000114968958381	0.000266693336	1.95736851377e-05	0.000120084613466	2.3531626506e-05	0.00164473684211	0.000189010905929	0.000625004155613	5.14315985455e-06	0.000230013472218	0.000180336553092	0.000231900190158	0.000254904005469	0.0	0.0	5.03423278292e-05	9.47482403898e-05	0.0	3.50135969468e-05	4.8659432631e-05	3.02750488185e-05	0.000165640199371	0.000125550404003	0.000159444642047	8.26945181804e-06	7.86941271697e-05	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__	0.00324145517393	0.00430175519276	0.00536720338701	0.00374836070387	0.00849829572222	0.00175702811245	0.00328947368421	0.0102916438278	0.00680855590795	0.00684554576641	0.00320375907732	0.00423227348038	0.00554705254858	0.00393942553906	0.00195042413985	0.00528746012556	0.00684655658478	0.00254466702761	0.00243797766557	0.00162813225803	0.00357299262462	0.00227062866139	0.00289117438901	0.0036768332601	0.00459323218819	0.00345663085994	0.00324894325029	0.00177200236267	0.00117049701725	0.000349060445634
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	0.0643945269084	0.0898482409749	0.0893922725606	0.0629783319306	0.0889365121886	0.0965110441767	0.0970394736842	0.0937021566144	0.100964767053	0.0845741206482	0.0760523116354	0.110963335325	0.0911182227169	0.0919276536086	0.0740232399744	0.0990925378352	0.108655524231	0.0834596643205	0.100413634413	0.0709550542127	0.089894826112	0.0684821604275	0.0833019620835	0.0978306683765	0.0792746495284	0.065535405658	0.0920384027341	0.0613063595196	0.0582907514591	0.021496305777
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40	0.0222713344574	0.0151088372806	0.0120178684535	0.0109319031494	0.0253932771091	0.0123462600402	0.0115131578947	0.015461092105	0.0127926382489	0.0132487797853	0.01118851247	0.0132772787214	0.0143592597746	0.00955890020508	0.0115580689769	0.0326861171398	0.0207074775138	0.0125879805089	0.0092131815152	0.00952369836953	0.0138679382998	0.0110806678676	0.0110978933578	0.0166174927584	0.0120932628506	0.0129416920952	0.0183750786941	0.0126009056901	0.0074911809104	0.0065739717261
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424	0.0068560172058	0.00699394496819	0.00641730839751	0.00430621073029	0.00580101055821	0.00631431977912	0.0	0.00807076568318	0.00738036822053	0.00560604424146	0.00713041763875	0.00761358385086	0.00720745791012	0.00929240965391	0.00580999360178	0.0120606528484	0.00661162572157	0.0072820790471	0.00401764109682	0.00413744003922	0.00682622326338	0.00640317282512	0.0086057612673	0.00799038642621	0.00671507242466	0.00449858178901	0.0106012231316	0.00556211852727	0.0013319448817	0.00328698586305
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	4.43153739324e-05	2.87422395953e-05	6.66733340001e-05	0.000185950008808	0.0	0.00304342369478	0.0	9.45054529646e-06	0.0	0.000108006356946	0.0	0.0	0.0	4.63461828125e-05	0.000515985222183	1.45660058555e-05	0.0	5.41418516513e-05	0.00154313942128	0.00687433620056	0.00253724184433	0.0	0.0	3.58715440009e-05	0.000110384752186	8.26945181804e-06	0.00069700512636	0.00216578066549	0.0113174952978	0.000639944150329
