Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__TM6	-0.457184599419	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota]	-0.343983272459	0.05	0.843673469388	1.0
k__Bacteria;p__BHI80-139	0.295353489085	0.07	0.843673469388	1.0
k__Bacteria;p__Bacteroidetes	0.269981590594	0.09	0.843673469388	1.0
k__Archaea;p__Crenarchaeota	-0.290160123431	0.13	0.843673469388	1.0
k__Bacteria;p__Chlamydiae	-0.291007841349	0.14	0.843673469388	1.0
k__Bacteria;p__Elusimicrobia	-0.244986986772	0.15	0.843673469388	1.0
k__Bacteria;p__GN02	-0.281277408507	0.17	0.843673469388	1.0
k__Bacteria;p__Verrucomicrobia	-0.231714784168	0.21	0.843673469388	1.0
k__Bacteria;p__Gemmatimonadetes	-0.246063629827	0.22	0.843673469388	1.0
k__Bacteria;p__OP11	-0.237600337096	0.23	0.843673469388	1.0
k__Bacteria;p__Firmicutes	-0.231217258635	0.24	0.843673469388	1.0
k__Bacteria;p__Tenericutes	-0.218173705291	0.28	0.843673469388	1.0
k__Bacteria;p__BRC1	-0.1951778025	0.29	0.843673469388	1.0
k__Bacteria;p__NKB19	0.191118153912	0.29	0.843673469388	1.0
k__Bacteria;p__MVP-21	-0.227240913441	0.3	0.843673469388	1.0
k__Bacteria;p__GOUTA4	-0.167533165875	0.33	0.843673469388	1.0
k__Archaea;p__Euryarchaeota	-0.187451512265	0.34	0.843673469388	1.0
k__Bacteria;p__Chloroflexi	-0.16869274441	0.35	0.843673469388	1.0
k__Bacteria;p__SBR1093	-0.206096620628	0.35	0.843673469388	1.0
k__Bacteria;p__WS4	-0.175854566793	0.35	0.843673469388	1.0
k__Bacteria;p__Proteobacteria	0.188750995014	0.36	0.843673469388	1.0
k__Bacteria;p__Actinobacteria	0.175036796097	0.39	0.843673469388	1.0
k__Bacteria;p__Spirochaetes	0.189898740286	0.4	0.843673469388	1.0
k__Bacteria;p__AC1	-0.167533165875	0.41	0.843673469388	1.0
k__Bacteria;p__Nitrospirae	-0.12161082362	0.45	0.843673469388	1.0
k__Bacteria;p__Fibrobacteres	0.123480314282	0.46	0.843673469388	1.0
k__Bacteria;p__WS2	-0.157232197527	0.46	0.843673469388	1.0
k__Bacteria;p__Cyanobacteria	-0.149712162146	0.48	0.843673469388	1.0
k__Bacteria;p__WPS-2	0.171501544672	0.48	0.843673469388	1.0
k__Bacteria;p__Kazan-3B-28	-0.167533165875	0.51	0.843673469388	1.0
k__Bacteria;p__Chlorobi	0.10800291083	0.56	0.843673469388	1.0
k__Bacteria;p__Fusobacteria	0.123433246801	0.6	0.843673469388	1.0
k__Bacteria;p__[Thermi]	0.120993607782	0.6	0.843673469388	1.0
k__Bacteria;p__Planctomycetes	-0.0849394577424	0.62	0.843673469388	1.0
k__Bacteria;p__SR1	0.113073341717	0.62	0.843673469388	1.0
k__Bacteria;p__Armatimonadetes	-0.0873722977462	0.65	0.843673469388	1.0
k__Bacteria;p__GAL15	-0.0740673133042	0.65	0.843673469388	1.0
k__Bacteria;p__OP8	-0.167533165875	0.66	0.843673469388	1.0
k__Bacteria;p__WS1	-0.159296321529	0.67	0.843673469388	1.0
k__Bacteria;p__NC10	-0.105483116961	0.69	0.843673469388	1.0
k__Bacteria;p__GN04	-0.0726868923522	0.71	0.843673469388	1.0
k__Bacteria;p__OP3	-0.0515931620544	0.73	0.843673469388	1.0
k__Bacteria;p__	0.0848832934967	0.74	0.843673469388	1.0
k__Bacteria;p__OD1	0.0633964475144	0.75	0.843673469388	1.0
k__Bacteria;p__PAUC34f	-0.0966080943282	0.75	0.843673469388	1.0
k__Bacteria;p__FCPU426	0.0811522045887	0.76	0.843673469388	1.0
k__Bacteria;p__Acidobacteria	-0.0644717272248	0.77	0.843673469388	1.0
k__Bacteria;p__AD3	0.103857583944	0.78	0.843673469388	1.0
k__Bacteria;p__FBP	0.0550944427773	0.83	0.8798	1.0
k__Bacteria;p__WS3	0.0295022428297	0.85	0.883333333333	1.0
k__Bacteria;p__Lentisphaerae	0.119666547053	0.94	0.958076923077	1.0
k__Bacteria;p__TM7	-0.0027381260354	0.97	0.97	1.0
